Series Name,Series Code,Country Name,countrycode,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Niger,NER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,127.6438078,126.8900925,127.1710817,128.15926,129.2811098,126.0117626,124.5882124,125.6394217,126.76844,129.4907855,134.6627723,112.6854396,127.610107,154.8434014,150.2031468,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,579.9114088,586.0618868,597.4194261,600.3721128,608.0983662,621.9887125,636.059088,645.5850986,652.1868468,662.3597883,671.1802975,683.7861985,685.1409764,669.316791,672.4870451,660.5881752,665.5986364,667.2750592,672.2360452,683.9049463,698.0072295,706.7992494,699.3738965,664.4394088,664.9821095,675.3482067,680.2824847,667.2777107,673.1835281,680.817424,695.6552732,698.523688,718.1516415,718.295474,726.1920828,712.2655078,717.2270796,718.2365808,687.4072228,719.4033173,739.8763066,757.9652059,740.1367537,724.6404493,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1200.369339,1180.681461,1328.868111,1381.744761,1241.322931,1250.789829,1468.031898,1345.463824,1439.110287,1343.516222,1316.508007,1266.240008,1251.048805,1379.158808,1362.182358,1396.622501,1470.396688,1525.65064,1532.112972,1437.260502,1479.440969,1611.075783,1534.488432,1404.57093,1367.862859,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Norway,NOR,1906.17493,1937.644745,2052.054484,2182.993108,2320.013134,2539.59773,2710.078199,2815.687987,3052.896565,3193.655078,3417.674662,3414.316639,3503.429948,3608.101223,3580.59955,3651.680815,3962.232921,4060.106277,4360.470706,4467.19363,4491.906981,4414.964063,4262.391711,4427.792925,4672.13755,4815.313896,5024.076188,5048.499309,4817.155673,4984.198116,4966.893577,5105.108205,5159.648619,5459.623408,5315.24487,5391.414081,5202.047275,5475.188739,5684.788594,5913.302209,5826.077769,5954.041771,5501.117744,5933.215841,5769.326707,5802.71629,5833.773935,5862.217261,6752.708982,6484.118585,6934.590199,5649.697724,5906.141048,6415.990714,5595.654625,5817.636603,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,124.6727811,124.1762336,133.9182089,199.5252936,306.7018119,463.5639333,870.742207,617.062681,888.3529516,1149.431509,926.9085991,1329.472353,1157.40961,1801.909249,1592.260917,1406.13576,1524.900799,1389.925392,1529.578912,2391.92632,3154.16914,2815.694461,2934.817416,2901.005075,2876.94527,2907.519776,3078.876808,3056.461022,3125.035232,3316.604524,3323.365294,3454.229101,3638.770012,3662.443067,4026.909483,6135.858788,6885.764933,5959.751444,5891.519929,6788.323325,7154.882908,6673.985215,6373.227562,6078.069647,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Pakistan,PAK,..,..,..,..,..,..,..,..,..,..,..,275.4822763,275.1092057,280.5990299,288.720884,292.9650125,287.4701478,290.4888265,293.0072726,299.31313,300.8794642,309.3014713,315.5109765,321.4383473,321.9365061,328.4857566,331.4044919,351.8977142,357.1867209,365.1691382,369.3300957,366.39732,379.2561264,387.6289612,392.0487538,397.8086472,406.6484017,405.8187392,403.3106593,414.4084533,413.6312571,408.7875948,403.3722694,411.8683733,430.7851663,436.0800189,443.5897915,455.1741738,435.7112532,431.1652712,426.725184,420.425008,417.258307,420.4844758,419.5138968,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4814.38338,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Panama,PAN,..,..,..,..,..,..,..,..,..,..,..,1064.17468,1165.569914,1237.815525,1185.420451,976.1768286,942.7187826,907.8424171,868.1907785,907.3020247,721.5266759,752.4094276,804.8352289,839.1865998,751.0849542,708.7215999,704.1284577,736.0300091,670.7092851,618.2189182,607.1381012,644.3434007,719.2921975,714.6651045,737.2264797,732.921719,767.7337138,782.141189,889.1052049,859.1795169,853.3827581,948.8261585,845.6452854,830.5609085,803.7961894,879.6619767,922.6236613,886.6713794,872.8823921,946.128374,994.5371893,1060.180777,1075.463868,1038.315397,1082.425405,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Paraguay,PRY,..,..,..,..,..,..,..,..,..,..,..,560.2690973,561.533929,593.2364271,573.9126096,547.6013208,568.0942977,602.5996915,655.927063,648.7258773,682.7705696,663.3128336,658.1207735,654.6203996,648.1943992,643.4066308,651.623963,731.1973521,759.9971313,805.4540427,761.3812263,765.4233557,742.7059432,751.8940123,801.818976,857.1537746,856.9873386,911.0579149,879.9091841,822.311011,755.0075791,755.5582071,738.5897629,744.5207264,742.9970259,726.7647768,741.1461054,760.6437114,789.4856289,791.6805084,837.8946147,838.5430121,847.3827745,825.8596611,851.4194264,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Peru,PER,..,..,..,..,..,..,..,..,..,..,..,659.6378671,642.5222061,652.2146845,672.7412842,675.3027284,669.1340462,676.4672399,640.4480028,622.5002937,648.4526854,636.421771,632.0050478,566.8621498,566.5611944,538.4758831,535.6504772,537.5414919,516.8210407,466.4120046,442.1697141,424.6979433,404.7079839,423.4164979,430.0285581,450.5821798,455.4288066,432.7708073,447.0100837,468.0687808,459.4900334,437.4276482,435.1079076,421.9596171,462.2528785,485.556941,467.7430567,502.4454185,523.5239575,545.4534066,641.7758649,648.3751447,691.9320729,683.1460975,789.5489568,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,..,397.8999892,391.207697,426.1093117,418.1635111,433.4635081,442.9283315,449.369953,444.7614706,458.672031,466.5482954,456.9511427,456.192908,481.9278692,421.0436993,430.383631,419.45827,427.0650511,439.7413772,450.8734803,456.753155,445.2737275,454.6274485,443.4938189,464.9993724,476.5924894,481.6576872,495.1182139,496.7085812,497.0027043,502.2272856,470.3988581,467.2578082,459.2577512,448.9797059,441.4382246,430.8995077,424.339807,432.6369853,404.5866339,419.3309277,413.9164752,431.7893678,438.8358238,459.4245596,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Poland,POL,1827.936816,1894.057436,1976.859792,1984.016736,2031.261374,2088.010793,2140.868691,2199.054621,2290.236264,2438.366889,2549.980376,2627.021489,2693.745275,2784.332708,2882.11696,3029.427815,3157.946112,3251.802572,3488.406405,3565.325143,3559.326505,3245.297816,3412.498664,3350.919512,3211.696852,3351.954155,3464.242892,3535.481972,3496.985114,3259.223305,2705.608743,2641.029448,2569.175335,2624.648843,2496.172708,2577.529684,2680.10207,2643.123536,2459.83454,2396.692124,2320.376718,2336.445838,2314.20258,2375.006131,2383.05568,2414.16179,2536.978045,2527.408412,2564.775642,2466.524041,2640.238911,2653.403657,2566.574313,2565.670456,2473.406883,2490.206419,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Portugal,PRT,336.9136017,365.8401159,363.164048,394.9389587,410.2518271,440.8829378,451.7508137,486.5854153,497.1290025,579.9724928,663.8615064,726.0504577,745.2839546,798.8351809,824.3612187,845.3624414,872.3493743,845.3689451,916.7693877,998.1606963,1022.463649,1006.494127,1119.204631,1117.913127,1115.894269,1093.858572,1208.47428,1241.195665,1299.585114,1575.754523,1680.962391,1703.316438,1813.885846,1786.451941,1827.696673,2014.0205,1986.836971,2083.487676,2240.067318,2390.494731,2390.097939,2391.228193,2477.48975,2400.765918,2462.985059,2519.004925,2390.324614,2402.426395,2337.271387,2304.026675,2222.629692,2163.982113,2039.011896,2057.86133,2034.51263,2131.681888,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,7049.571361,6950.534449,8851.724841,6940.550964,10570.25072,7310.008993,7704.658544,6706.601932,10888.12,12002.9937,14124.77474,15438.56749,15063.20422,16170.66615,15431.12259,15684.96059,15582.37554,15729.02564,15571.57591,14827.01198,15877.29222,16078.55307,16170.76433,15746.61784,15843.99358,16344.93279,18482.33969,18382.88662,18478.16816,16930.99882,17800.91751,19193.65162,18977.32589,21548.34922,20189.7498,20137.89343,18315.49609,15940.01141,15062.32135,17096.1046,19259.82406,22113.73646,21051.47551,20483.63026,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Romania,ROU,..,..,..,..,..,..,..,..,..,..,..,2058.880388,2131.639736,2295.811018,2285.590208,2432.730884,2594.392518,2735.439116,2921.299554,2882.334152,2937.198123,2896.82245,2881.80799,2893.94715,2858.882031,2856.61034,2920.040867,3027.565216,3033.684681,2987.059062,2683.178895,2231.806142,2052.962927,2003.715677,1892.681507,2053.942093,2109.772429,1989.994182,1823.459178,1613.782327,1614.209768,1663.739288,1755.130026,1832.278607,1803.463242,1810.327263,1884.545121,1904.096886,1928.966361,1712.526096,1730.087676,1777.106154,1741.722606,1595.98939,1591.667659,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5941.586297,5870.233857,5356.50974,5059.864625,4426.668195,4290.693467,4252.611619,4069.687292,3981.499468,4136.751144,4224.277198,4288.382631,4288.193851,4461.30532,4493.687215,4540.908156,4688.391023,4709.844887,4823.125995,4531.286494,4819.040782,5047.404045,5160.641578,5068.079494,4928.566227,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Rwanda,RWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,255.7733581,..,..,..,..,..,..,..,..,..,..,..,..,..,300.6727553,304.8486988,303.6615186,307.2798843,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,190.7272239,..,..,..,..,..,..,..,..,..,..,..,..,..,240.9562157,266.0249074,265.6395272,259.2810843,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,1975.840695,1600.416773,1761.387502,1871.824429,1924.575866,2114.783629,2234.086517,3173.45968,3935.984163,5142.273053,6589.519186,6947.226502,7147.145827,5937.724454,5642.157497,5324.777755,6015.446988,6529.694527,6208.46227,5451.197577,6049.875349,6582.434304,6537.312635,6590.469991,6359.010538,6540.265139,6001.006195,6160.666819,6048.967834,6048.86646,5894.425792,6211.362851,5992.192909,6090.783488,5960.564137,6328.097989,6273.217296,6721.9601,6881.057637,7735.645956,7098.809427,7655.998402,6957.035121,7541.882831,..,..,..,..,..,..,..,..,..
