Series Name,Series Code,Country Name,countrycode,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Labor force, total",SL.TLF.TOTL.IN,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3409093,3450142,3585570,3748231,3912686,4043898,4107878,4155540,4195469,4257576,4306234,4283030,4260614,4242455,4179032,4180297,4157327,4042762,4094522,4219228,4281288,4368984,4449918,4508074,4602987,4693026,4809412,4876185,4955866,4998234,5197914,4843562,5012404,5009964
"Labor force, total",SL.TLF.TOTL.IN,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,140803,144678,148521,152275,155918,158854,161732,164382,167222,170178,173045,175801,178542,181247,184263,187447,190813,194582,198100,201229,204779,208167,211442,214085,217003,219720,222209,224970,227745,230009,218012,224673,232678,235466
"Labor force, total",SL.TLF.TOTL.IN,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,226993,221644,228502,235398,242849,250748,259205,268404,278398,289134,300607,316440,346170,379899,417655,459923,507565,561432,609556,665645,701770,677360,693460,719472,745356,777303,818877,870904,868862,848579,820626,840354,868716,905498
"Labor force, total",SL.TLF.TOTL.IN,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36220330,37309118,38438786,39605055,40831150,42121735,43461440,44841978,46238056,47640113,49012721,50202022,51222747,52191921,53128855,54042558,54908227,55891567,56846810,57807404,58796583,59281113,59869794,60484221,61204476,61920877,62629015,66147765,67707982,69213088,70410966,72755656,74651451,75834921
"Labor force, total",SL.TLF.TOTL.IN,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,134200,134474,134536,136388,138085,140568,139437,140167,140921,141586,141943,142669,143924,145129,147603,148476,149367,150206,150841,151202,151410,151562,149937,152318,148747,147530,149789,150755,150433,149226,147279,148049,147042,147625
"Labor force, total",SL.TLF.TOTL.IN,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4656868,4649377,4667133,4683972,4704094,4724865,4719656,4703524,4718081,4752493,4815953,4871194,4907075,4931321,4947805,4959438,4972585,4989962,5017101,5047868,5072487,5089161,5094860,5096418,5096822,5096110,5091410,5078342,5052623,5023444,4980288,4937106,4905932,4856653
"Labor force, total",SL.TLF.TOTL.IN,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3938244,4027934,4070853,4096201,4162431,4194014,4204594,4226864,4260848,4368285,4412646,4307825,4358408,4395670,4486040,4627699,4647632,4735412,4779497,4801697,4901576,4884263,4917260,4966858,4984459,4994454,5001167,5037325,5093485,5146209,5124712,5217415,5320795,5367441
"Labor force, total",SL.TLF.TOTL.IN,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56315,58164,60096,61805,63461,66725,70561,74916,78094,82388,86164,89869,93582,97414,101380,105467,109679,114014,118461,123041,127831,132777,137753,142809,149447,155137,161445,166282,178447,189886,179096,175200,180679,186401
"Labor force, total",SL.TLF.TOTL.IN,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2052281,2116070,2182477,2300455,2394402,2427651,2486709,2563287,2648475,2737746,2830348,2925855,3024243,3128205,3235131,3353095,3468401,3577425,3695226,3820397,3950108,4080183,4235463,4393926,4557889,4727555,4901776,5081385,5267149,5459336,5605830,5870968,6035371,6204134
"Labor force, total",SL.TLF.TOTL.IN,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
