Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.4871247397993,11.4660787839175,11.6827681474875,11.2876127960286,12.1111825841831,12.3718657600519,13.398839397349,13.3306838553422,13.1035622749343,12.7704609542673,13.3052050162719,13.2212994725006,14.4289520525081,13.4255697933397,14.2766270319584,14.4766833320713,14.6357046098063,14.8348156475094,12.7803043861906,12.8878819569623,11.9951747490386,14.6941340643999,14.2497608781676,13.0914399197153,15.1463365909221,14.6920584127552,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.7168214136372,11.2786203145188,13.0843035956412,12.7624090176746,13.0240116262623,13.5375443789175,13.5702693202653,13.3785902502608,13.275050522834,12.8465531748797,12.6894969970954,13.0868208952617,12.3483842634192,11.3355851658273,11.2907608327322,10.3183698467266,6.93308651982817,6.34598618621395,7.81683532136904,8.19892293970072,7.09919256999828,6.21118609967315,6.28770989237533,6.41032898333597,6.52180533515805,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Pakistan,PAK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.66360381502727,8.87656885701348,8.9757848250957,8.69191494081927,8.66092364250368,8.70386651026068,8.67122948076508,8.5323350582487,8.56455581742556,8.40826666450466,8.53831245746031,8.70801338286355,8.83471358843286,8.90765017819661,8.95956109856483,9.26929554258303,9.43634555268626,9.35449727465327,9.71594898306361,9.90441278029063,9.90984814045993,10.0994637055495,10.2862448291272,10.4811171678772,10.774934201102,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.70599606411607,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Panama,PAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.6710986256435,18.845772339956,17.8882083688657,18.5959460659294,18.1624976920152,18.213860264298,16.0574575500912,16.6388001836312,15.5510644320779,16.5992562218402,17.0767162733863,15.2059782835842,17.1551169990179,18.0089781612293,19.75017160895,19.1755030594884,19.7158114184614,22.791782888367,25.0524228204767,23.0655673077437,22.8640123894442,23.5803752915457,25.0374615707043,27.0970920538997,26.7286820151585,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Paraguay,PRY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.0847464239537,13.1173319595363,13.3948317938289,13.5370871798189,13.0442034470604,12.7261560125819,12.6317939611306,12.1101145639762,12.2769030438771,12.6903307157091,13.2430364028126,12.903385293668,13.0122948642434,13.3017791692851,13.7109490875644,14.1587775732552,14.4006603382011,14.6479492350783,14.8845510727298,14.6539990977857,15.2030772572444,15.6336244931492,15.1464037014702,16.5896261768972,16.7007634342932,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Peru,PER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.2890909536494,14.8898768594998,15.2276024432968,15.0121523088119,16.2755496405083,16.3640612569956,16.33299430217,17.9661158180723,17.0134024947081,16.2084678457835,16.6934200128431,17.404068752203,18.2322387763702,19.3758687279623,18.3827916372045,18.435628070749,20.4163638544731,20.4762249040761,21.3046889295887,20.5450560664264,18.7934210616874,19.6319444498628,19.362859113056,20.5734006338456,18.0446074687663,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.86191831372233,9.83304212678174,9.44447616444121,9.65776634381684,9.40660885998706,9.39444761836057,9.61631486461369,9.61125711863611,9.29453024084588,9.35761360832265,9.43883187011138,10.1581897188324,10.3936186823143,10.8944991429045,11.6474102012127,12.2028774065759,12.9463416683985,13.7627156479765,13.8384784060751,14.7442026238619,14.9596389460787,15.4338214408933,15.5111651844298,15.9889828588962,15.9772947105493,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.73456752899007,4.49409144650774,4.72146560406828,4.78226316295732,5.28338569148383,5.51486199239886,5.6227260746872,6.05996886021316,6.81001532087643,7.31848343790147,7.99421540891232,8.03940187383866,8.27481929242296,8.35269608392796,8.7533848324298,8.92627554515092,9.02668526719177,9.67867291144938,9.95441205293991,10.6144316129302,10.2595466203925,10.7393797258837,11.2705774309631,11.358546919439,12.2533376543872,12.718522510355,..,..,..,..,..,..,..,..
